S. NO,STREAM,NAME,PLACE,EXAM,FEES,SPECIALISATION,RANK / CUTOFF,LINK
70,MEDICAL,Seth gordhandas sunderdas medical college,Mumbai,NEET,"1 - 36,838",5.07 lakhs,MBBS,https://www.kem.edu/
71,ARTS,Jai hind college,Mumbai,JHC-EE,92%,20k,BA,https://www.jaihindcollege.com/
72,ARTS,kishinchand chellaram college,Mumbai,Board ,75%,1.2 lakhs,BA,https://kccollege.edu.in/
73,ARTS,Elphinstone college ,Mumbai,Board ,75%,44k,MA,https://www.elphinstone.ac.in/
74,ARTS,Ramniranjan jhunjhunwala college,Mumbai,Board ,60%,70k,MA,https://www.rjcollege.edu.in/
75,ARTS,Shailesh J.Mehta school of management,Mumbai,CAT ,90 percentile ,1.85 lakhs,MBA,https://www.som.iitb.ac.in/
76,COMMERCE,valia college of commerce,Mumbai,Board ,75%,53k,B.Com,https://valiacollege.co.in/
77,COMMERCE,Narsee monjee college of commerce and economics,Mumbai,Board ,75%,50k,B.Com,https://nmcollege.in/
78,COMMERCE,mithibai college ,Mumbai,Board ,75%,50k,B.Com,https://mithibai.ac.in/
79,COMMERCE,B.K Birla college ,Mumbai,Board ,75%,48k ,B.Com,https://www.bkbirlacollegekalyan.com/
80,COMMERCE,Sydenham college of commerce and economics,Mumbai,Board ,75%,40k,B.Com,http://simsree.org/
81,Engineering,IIT MADRAS,Chennai,JEE mains/adv,"1-5,900",Rs 1 lakh/year,All engg courses,https://www.iitm.ac.in/
82,Engineering,CEG GUINDY,Chennai,TNEA,"1-8,000","Rs 50,000/year",All engg courses,https://ceg.annauniv.edu/
83,Engineering,TANUVAS,Chennai,TANUVAS exam,1-192,"Rs 22,000/year","Food,Poultry,Dairy engg",https://tanuvas.ac.in/
84,Engineering,IIITDM,Chennai,JEE main,"7,613-37,550",Rs 2 lakh/year,"Csc,ECE,mech",https://www.iiitdm.ac.in/
85,Engineering,IMU,Chennai,IMU CET,134-177,Rs 3 lakh/year,"Naval Arch,ocean engg,marine engg",https://imu.edu.in/
86,Medical,GKMC college,Chennai,NEET,"1,576-3,593","Rs 30,000/year",MBBS/MD/MS,http://gkmc.in/
87,Medical,Stanley Medical college,Chennai,NEET,"858-2,258","Rs 14,000/year",Diploma,http://www.stanleymedicalcollege.ac.in
88,Medical,GMC college,Chennai,NEET,"2,691-6,096",Rs 62000/year,MBBS/MD/MS,http://www.gmcoge.tn.gov.in
89,Medical,ESIC med college,Chennai,NEET,"6,743-7,489",Rs 2 lakh/year,Diploma,https://www.esic.nic.in/
90,Medical,MMC college,Chennai,NEET/ TNPCEE,318-841,Rs 6 lakh/year,MBBS/Diploma,http://www.mmc.ac.in
91,Arts,Loyala college,Chennai,10+2 marks,N/A,"Rs 12,000/year","Eco,English,",http://www.loyolacollege.edu
92,Arts,Presidency College,Chennai,10+2 marks,N/A,"Rs 2,000/year","History,Sociology,",https://presidencycollegechennai.ac.in
93,Arts,Queen Mary’s Clg,Chennai,10+2 marks,N/A,"Rs 2,000/year","French Lit,Tamil",http://www.queenmaryscollege
94,Arts,SIVET clg,Chennai,10+2 marks,N/A,Rs 1000/year,"History,Political Science,tamil etc.",http://www.sivet.in
95,Arts,Stella Maris,Chennai,10+2 marks,N/A,Rs 2500/year,"Music,English,",https://stellamariscollege.edu.in
96,Commerce,DRBCCC,Chennai,10+2 marks,N/A,Rs 1000/year,"General,Acoounting,",https://drbccchinducollege.ac.in
97,Commerce,DAGAC,Chennai,10+2 marks,N/A,Rs 2000/year,"Finance,Corporate secretaryship",http://www.daga.co.in
98,Commerce,The New College,Chennai,10+2 marks,N/A,Rs 4000/year,General,https://thenewcollege.edu.in
99,Commerce,Guru Nanak Clg,Chennai,10+2 marks,N/A,"Rs 25,000/year","General,Acoounting,",https://gurunanakcollege.edu.in
100,Commerce,JBAS clg,Chennai,10+2 marks,N/A,"Rs 40,000/year","Finance,Corporate secretaryship",https://www.jbascollege.edu.in
101,Engineering,IIT-H,Hyderabad,JEE main/adv,"191-7,230",Rs 3 lac/year,All engg courses,https://iith.ac.in
102,Engineering,JNTUH,Hyderabad,TS-EAMCET,"340-60,000",Rs 2 lac/year,All engg courses,https://jntuh.ac.in
103,Engineering,UCE,Hyderabad,TS-EAMCET,"400-6,200","Rs 30,000/year",All engg courses,http://www.uceou.edu/
104,Engineering,DCET,Hyderabad,TS-EAMCET,"18,109-77,121","Rs 72,000/year",All engg courses,http://deccancollege.ac.in/
105,Engineering,OU,Hyderabad,TS-EAMCET,"403-6,190","Rs 10,000/year",All engg courses,https://www.osmania.ac.in
106,Medical,ESIC ,Hyderabad,NEET,"3,520-6,040",Rs 5 lac/year,MBBS,https://www.esic.nic.in
107,Medical,AIIMS-H,Hyderabad,NEET,"1-1,010","Rs 6,000/year",MBBS,https://aiimsbibinagar.edu.in
108,Medical,NIMS,Hyderabad,10+2 marks,N/A,"Rs 50,000/year",Physiotherapy,https://www.nims.edu.in
109,Medical,OMC,Hyderabad,NEET,"230-3,460","Rs 30,000/year","MBBS,",http://www.osmaniamedicalcollege.org
110,Medical,Gandhi Medical Clg,Hyderabad,NEET,"300-2,300",Rs 9600/year,"Diploma,MD",https://www.gandhihospital.in
111,Arts,EFLU,Hyderabad,10+2 marks,N/A,Rs 5300/year,"ENGLISH,ARABIC,",http://www.efluniversity.ac.in
112,Arts,PSTU,Hyderabad,10+2 marks,N/A,Rs 5800/year,"FRENCH,GERMAN,",http://teluguuniversity.ac.in/
113,Arts,GCC clg,Hyderabad,+2 marks only,N/A,Rs 4600/year,"RUSSIAN,SPANISH",https://gdcts.cgg.gov.in/charminar.edu
114,Arts,JNAFAU,Hyderabad,"FADEE,",N/A,"Rs 20,000/year","Painting, Sculpture",https://www.jnafau.ac.in
115,Arts,UOH,Hyderabad,10+2 marks,N/A,"Rs 30,000/year","BA, MA",https://uohyd.ac.in/
116,Commerce,MGU,Hyderabad,10+2 marks,N/A,"Rs 30,000/year","Foreign Trade, Advertising etc.",http://www.mguniversity.ac.in/home.php
117,Commerce,BRAOU,Hyderabad,10+2 marks,N/A,"Rs 2,000/year",Business finance etc.,http://www.braou.ac.in/
118,Commerce,Nagarjuna govn clg,Hyderabad,10+2 marks,N/A,"Rs 4,500/year","General,CA",https://gdcts.cgg.gov.in/nalgonda.edu
119,Commerce,IIMC,Hyderabad,10+2 marks,N/A,"Rs 47,500/year","General,CA",http://www.iimchyderabad.com/
120,Commerce,Nizam clg,Hyderabad,10+2 marks,N/A,"Rs 16,000/year","General,E-commerce",https://nizamcollege.ac.in/
